date,PM2.5,PM10,station_name,latitude,longitude
2019-07-07,5.0,,US Embassy,51.128736,71.46939
2019-07-08,8.9,,US Embassy,51.128736,71.46939
2019-07-09,7.9,,US Embassy,51.128736,71.46939
2019-07-10,7.9,,US Embassy,51.128736,71.46939
2019-07-11,6.2,,US Embassy,51.128736,71.46939
2019-07-12,7.9,,US Embassy,51.128736,71.46939
2019-07-13,8.9,,US Embassy,51.128736,71.46939
2019-07-14,15.4,,US Embassy,51.128736,71.46939
2019-07-15,9.1,,US Embassy,51.128736,71.46939
2019-07-16,8.6,,US Embassy,51.128736,71.46939
2019-07-17,22.1,,US Embassy,51.128736,71.46939
2019-07-18,6.0,,US Embassy,51.128736,71.46939
2019-07-19,8.4,,US Embassy,51.128736,71.46939
2019-07-20,13.5,,US Embassy,51.128736,71.46939
2019-07-21,12.6,,US Embassy,51.128736,71.46939
2019-07-22,9.8,,US Embassy,51.128736,71.46939
2019-07-23,8.4,,US Embassy,51.128736,71.46939
2019-07-24,7.2,,US Embassy,51.128736,71.46939
2019-07-25,65.2,,US Embassy,51.128736,71.46939
2019-07-26,15.9,,US Embassy,51.128736,71.46939
2019-07-27,45.2,,US Embassy,51.128736,71.46939
2019-07-28,45.7,,US Embassy,51.128736,71.46939
2019-07-29,21.1,,US Embassy,51.128736,71.46939
2019-07-30,6.5,,US Embassy,51.128736,71.46939
2019-07-31,8.4,,US Embassy,51.128736,71.46939
2019-08-01,8.9,,US Embassy,51.128736,71.46939
2019-08-02,7.7,,US Embassy,51.128736,71.46939
2019-08-03,7.0,,US Embassy,51.128736,71.46939
2019-08-04,12.1,,US Embassy,51.128736,71.46939
2019-08-05,7.9,,US Embassy,51.128736,71.46939
2019-08-06,10.3,,US Embassy,51.128736,71.46939
2019-08-07,7.9,,US Embassy,51.128736,71.46939
2019-08-08,8.4,,US Embassy,51.128736,71.46939
2019-08-09,6.5,,US Embassy,51.128736,71.46939
2019-08-10,9.1,,US Embassy,51.128736,71.46939
2019-08-11,8.9,,US Embassy,51.128736,71.46939
2019-08-12,11.5,,US Embassy,51.128736,71.46939
2019-08-13,6.2,,US Embassy,51.128736,71.46939
2019-08-14,5.3,,US Embassy,51.128736,71.46939
2019-08-15,7.4,,US Embassy,51.128736,71.46939
2019-08-16,10.1,,US Embassy,51.128736,71.46939
2019-08-17,12.6,,US Embassy,51.128736,71.46939
2019-08-18,12.1,,US Embassy,51.128736,71.46939
2019-08-19,9.6,,US Embassy,51.128736,71.46939
2019-08-20,7.0,,US Embassy,51.128736,71.46939
2019-08-21,7.2,,US Embassy,51.128736,71.46939
2019-08-22,7.0,,US Embassy,51.128736,71.46939
2019-08-23,10.3,,US Embassy,51.128736,71.46939
2019-08-24,9.4,,US Embassy,51.128736,71.46939
2019-08-25,8.6,,US Embassy,51.128736,71.46939
2019-08-26,8.6,,US Embassy,51.128736,71.46939
2019-08-27,6.7,,US Embassy,51.128736,71.46939
2019-08-28,7.7,,US Embassy,51.128736,71.46939
2019-08-29,8.2,,US Embassy,51.128736,71.46939
2019-08-30,11.8,,US Embassy,51.128736,71.46939
2019-08-31,5.0,,US Embassy,51.128736,71.46939
2019-09-01,5.3,,US Embassy,51.128736,71.46939
2019-09-02,4.8,,US Embassy,51.128736,71.46939
2019-09-03,5.8,,US Embassy,51.128736,71.46939
